,FIRE_YEAR,FIRE_NAME,FIPS_NAME,FIPS_CODE,LATITUDE,LONGITUDE,DISCOVERY_DATE,CONT_DATE,FIRE_SIZE
0,2010,BAR,Plumas,063,40.0141667,-121.174444,2455408.5,2455419.5,1040.0
1,2010,POZO,San Luis Obispo,079,35.3063889,-120.319722,2455429.5,2455433.5,1150.0
2,2010,POST,Kern,029,34.8477778,-118.873889,2455432.5,2455436.5,1312.0
3,2010,BULL,Kern,029,35.7852778,-118.474722,2455403.5,2455439.5,16442.0
4,2010,WOLF,Alpine,003,38.5513889,-119.7125,2455402.5,2455421.5,1142.0
5,2010,CANYON,Kern,029,35.5563889,-118.601944,2455451.5,2455463.5,9820.0
6,2010,BULLARD,Yuba,115,39.3769444,-121.140833,2455435.5,2455454.5,1307.0
7,2010,SAND 2,Kern,029,35.7767,-117.972788,2455393.5,2455397.5,1255.0
8,2010,INDIAN,Kern,029,35.69616,-117.96529,2455395.5,2455402.5,1822.0
9,2010,CROWN,Los Angeles,037,34.5453,-118.2814,2455406.5,2455411.5,13918.0
10,2010,MONO,Mono,051,37.93,-118.98,2455403.5,2455411.5,1205.0
11,2010,MCDONALD,Lassen,035,40.9164,-120.3997,2455403.5,2455418.5,9408.0
12,2010,CONSTANTIA,Lassen,035,39.9489,-120.0572,2455401.5,2455420.5,1369.0
13,2010,BEAR CREEK,Santa Barbara,083,34.642222,-120.574722,2455497.5,2455499.5,1253.0
14,2010,WEST,Kern,029,35.058056,-118.425833,2455404.5,2455414.5,1658.0
15,2010,ALISO,San Diego,073,33.321389,-117.386667,2455390.5,2455392.5,3225.0
16,2011,GILMAN,Riverside,065,33.9375,-117.0817,2455779.5,2455781.5,1026.6
17,2011,CANYON,Kern,029,35.0806,-118.4233,2455808.5,2455815.5,3128.0
18,2011,GREAT,San Diego,073,35.0975,-116.4786,2455835.5,2455842.5,2134.2
19,2011,JOHN,Inyo,027,37.1378,-118.2822,2455817.5,2455820.5,5353.0
20,2011,ANNIE,Modoc,049,41.89975,-120.12253,2455791.5,2455799.5,2076.0
21,2011,MILTON,Stanislaus,099,37.944722,-120.843889,2455813.5,,1122.0
